year,title,inventor_estimates,location_estimates
1960,Communications Satellites,['Earth'],"['United States', 'Earth']"
1960,Venus Probe,"['Venus', 'Mariner']","['United States', 'Venus']"
1960,Rotation of Venus,"['Venus', 'Earth', 'Venus Roland L. Carpenter', 'Richard M. Goldstein', 'Venus Venus']","['Pluto', 'Venus', 'American']"
1960,Noble Gas Compounds,"['Linus Pauling', 'Neil Bartlett']",[]
1963,Approaching Absolute Zero,"['Giauque', 'Heinz London']",[]
1963,Environment,"['Silent Spring', 'Rachel Louise Carson']",['Ameri']
1963,Quasars,"['Third Cambridge Catalog', 'Radio Stars', 'Martin Ryle', 'Allan Rex Sandage', 'Cyril Hazard', 'Maarten Schmidt', 'Seyfert']","['British', 'Australian']"
1963,Arecibo Radio Telescope,['Puerto Rico'],['Arecibo']
1963,X-Ray Sources,"['Earth', 'Earth Rocketry', 'Bruno Rossi']",['Scorpio']
1963,Hydroxyls in Space,"['Trumpler', 'Hulst', 'Purcell', 'Helium']",['Earth']
1963,Woman in Space,['Valentina Vladimirovna Tereshkova'],['Soviet Union']
1964,Magnetic Reversals,"['Bernard Brunhes', 'Earth']","['French', 'Earth']"
1964,Background Microwave Radiation,"['Arno Allan Penzias', 'Robert Woodrow Wilson', 'Robert Henry Dicke', 'Gamow', 'Penzias', 'Wilson', 'Mendeleyev', 'Lee', 'Yang', 'Val Logsden Fitch', 'James Watson Cronin', 'T', 'Cronin', 'Fitch']","['American', 'American Galaxy', 'American American']"
1964,Transfer-RNA Structure,"['Robert William Holley', 'Sanger', 'Holley']",['American']
1964,Multiperson Spaceflight,[],['Soviet Union']
1965,Rutherfordium,"['Igor Vasilyevich Kurchatov', 'Ernest Rutherford']","['Soviet', 'American']"
1965,Martian Craters,['Mars'],"['United States', 'Martian', 'Earth', 'Martian Martian']"
1965,Rotation of Mercury,"['Schiaparelli', 'Mercury', 'Microwaves', 'Rolf Buchanan Dyce', 'Gordon H. Pettengill']","['American', 'Mercurian']"
1965,Spacewalks,"['Aleksei Leonov', 'Voskhod II', 'Edward Higgins']",['American']
1965,Space Rendezvous,"['Gemini VII', 'Gemini VI']","['Maneuverability', 'American']"
1965,Communications Satellites,['Early Bird'],"['United States', 'Soviet Union']"
1965,Venus Probe,['Venus'],['Soviet Union']
1965,Holography,"['Gabor', 'Holography', 'Emmet N. Leith', 'Juris Upatnieks']",['Michigan']
1965,Microfossils,"['Earth', 'Elso Sterrenberg Barghoorn']","['Cambrian', 'Cambrian American']"
1967,Protein Synthesis,"['Robert Bruce Merrifield', 'David Phillips', 'Gemini VIII', 'Sd']","['Sanger', 'Perutz', 'American', 'Soviet Moon', 'American United States']"
