year,title,inventor_estimates,location_estimates
1967,Pulsars,"['Anthony Hewish', 'Jocelyn Bell', 'Vega', 'Hewish']","['Great Britain', 'British', 'Altair', 'Eventually']"
1967,Venus’s Atmosphere,['Venus'],"['Soviet Union', 'Venus', 'Venus Venus', 'Earth']"
1967,Space Casualties,"['Virgil Ivan', 'Edward White', 'Roger Bruce Chalffee', 'Soyuz', 'Vladimir Mikhaylovich Komarov']","['American', 'Grissom', 'Gemini', 'American Soviet', 'Earth']"
1967,Heart Transplants,['Christiaan Neethling'],['South African']
1967,Clones,"['Suppose', 'Robert William Briggs', 'Thomas J. Ki', 'John B. Gurden']","['Greek', 'American', 'British', 'South', 'Amphibian']"
1968,Hahnium,['Otto Hahn'],['United States']
1968,Electroweak Interaction,"['Einstein', 'Steven Weinberg', 'Sheldon Lee Glashow', 'Abdus Salam', 'Glashow', 'Salam']","['American', 'Pakistani', 'Weinberg']"
1968,Solar Neutrinos,"['Neutrinos', 'Frederick Reines', 'Cowan']",['South Dakota']
1968,Astrochemistry,[],[]
1969,Rotating Neutron Stars,"['Pulsars', 'Thomas Gold', 'Neutron']",[]
1969,Circumnavigation,"['James A. Lovell', 'William', 'Neil Alden Armstrong', 'Edwin Eugene Aldrin', 'Michael Collins', 'Neil Armstrong', 'John Kennedy']","['Soviet', 'American', 'Borman', 'Earth']"
1969,Cosmonaut Transfer,[],['Soviet']
1969,Optical Pulsars,['Earth'],['Pulsars']
1969,Antarctic Meteorites,"['Earth', 'Mars']",['Japanese']
1969,Protein Structure,"['Sanger', 'Gerald Maurice Edelman', 'Edelman', 'Choh Hao Li']",['American']
1969,Artificial Hearts,['Denton Cooley'],['American']
1970,Coronary Bypass,[],[]
1970,Black Hole Evaporation,"['Stephen William Hawking', 'Massive']","['Black', 'British']"
1970,Meteoritic Amino Acids,"['Cyril Ponnamperuma', 'Miller', 'Ponnamperuma']","['American', 'Earth', 'Australia']"
1970,1Stry,[],[]
1970,Gene Synthesis,"['Li', 'Hamilton Othanel Smith', 'Daniel Nathans', 'Smith']","['Khorana', 'American', 'Nathans']"
1970,Reverse Transcriptase,"['Watson', 'Crick', 'Howard Martin Temin', 'David Baltimore', 'Temin', 'Baltimore']",['American']
1970,Megavitamin Therapy,['Linus Pauling'],['Eijkman']
1970,Fiber Optics,[],[]
1970,Scanning Electron Microscope,['Albert Victor Crewe'],['American']
1970,Planetary Soft Landing,"['Moon', 'Apollo', 'Apollo X111']","['Soviet Union', 'Venus', 'Soviet Moon', 'Earth', 'China', 'Japan']"
1971,Supersonic Transport,['Great Britain'],"['United States', 'France', 'Soviet Union']"
1971,Mapping Mars,"['Mars', 'Phobos', 'Mariner', 'Mars Valles Marineris', 'Olympus Mons', 'Earth']","['United States', 'Deimos']"
1971,Moon Rocks,['Moon'],"['Moon', 'Earth']"
1971,Space Station,[],"['Soviet Union', 'July', 'Soviel', 'Earth']"
1972,Black Hole Detection,"['Cygnus', 'Cygnus Bolt', 'Cygnus Cygnus X-1', 'Cygnus Holes Hawking', 'Vitamin']","['Cygnus', 'Canadian']"
1972,Pocket Calculators,[],[]
1972,Punctuated Evolution,"['Darwin', 'Stephen Jay Gould', 'Niles Eldredge']",['American']
1972,Speed of Light,"['Olaus Roemer', 'Kenneth M. Evenson']","['Michelson', 'Boulder', 'Colorado']"
1972,Earth Resources Satellites,"['Landsat', 'Such Earth', 'Space']","['United States', 'Earth', 'Soviet']"
1972,Quantum Chromodynamics,"['Murray', 'John Charnley']",['British']
1973,Laser Disks,[],[]
1973,Jupiter Probe,"['Solar System', 'Jupiter', 'Jupiter Jupiter', 'Earth', 'Jupiter Jupiter Earth']",[]
1973,Skylab,"['Skylab', 'Earth', 'Edward P. Tryon']","['American', 'Skylab', 'Earth']"
1973,Genetic Engineering,"['Stanley H. Cohen', 'Herbert W. Boyer']",['American']
1974,Proton Decay,"['Glashow', 'Abdus Salam']",['Grand']
1974,Mapping of Mercury,"['Venus', 'Mercury', 'Mercury Mercury', 'Mercury Earth', 'Earth', 'Second', 'Earth Moon', 'Moon', 'Earth Third', 'Earth Moon William K. Hartmann', 'Earth Earth', 'Hartmann']","['Caloris', 'American', 'Mars', 'Earth', 'Earth Earth']"
1974,Leda,"['Jupiter', 'Charles T. Kowall', 'Leda', 'Jupiter Freon', 'Rowland', 'Mario Molina', 'Earth']","['Jupiter', 'American', 'Jovian', 'Zeus', 'Greek', 'Midgley']"
1974,Tauon,['Martin L. Perl'],['American']
1975,Charmed Quarks,"['Burton Richter', 'Samuel Chao Chung Ting']",['American']
1975,Microchips,[],[]
1975,Surface of Venus,['Venus'],['Soviet']
1976,Endorphins,"['Life', 'Mars', 'Mars Earth', 'Mars Mars']","['United States', 'Martian', 'Martian Earth', 'Martian Martian']"
1976,Pluto’s Surface,"['Neptune', 'Pluto']","['Pluto', 'Earth']"
1976,Synthetic Gene,['Khorana'],[]
1977,String Theory,[],[]
1977,Rings of Uranus,"['Uranus', 'James L. Elliot', 'Uranus Uranus', 'Uranus Uranus Saturn']","['Libra', 'American', 'Uranus']"
1977,Chiron,"['Jupiter XIII', 'Jupiter', 'Kowall', 'Uranus', 'Saturn']","['Kowall', 'Uranus', 'Chiron', 'Greek']"
1977,Inflationary Universe,"['Alan Guth', 'Proton Decay']",['American']
1977,Vela Pulsar,['Bacteria'],[]
1977,Lucy,"['Donald Johanson', 'Lucy', 'Lucy Smallpox']","['American', 'Australopithecus', 'Semalia', 'New York City']"
1977,Fiber Optics,[],[]
1978,Balloon,['Angioplasty Coronary'],[]
1978,Radar Mapping of Venus,"['Pioneer Venus', 'Venus', 'Venus Venus', 'Earth', 'Venus Pioneer', 'Earth Ishtar Terra']","['United States', 'Venus', 'Venus United States']"
1978,Charon,"['James W. Christy', 'Christy', 'Charon', 'Charon Pluto', 'Pluto', 'Plute', 'Charon Pluto Charon']","['American', 'Pluto', 'Pluto Earth', 'Hades', 'Greek']"
1978,Oncogenes,['Robert A. Weinberg'],['American']
1979,Virus Genome,['Baby'],['Great']
1979,Jupiter’s Satellites,"['Jupiter', 'Jupiter Ganymede', 'Europa', 'Jupiter Jupiter', 'Sulfur', 'Io', 'Jupiter Jupiter Jupiter', 'Saturn', 'Walter Alvarez', 'Earth', 'Alvarez']","['Galilean', 'Callisto', 'Europa', 'Earth', 'Uranus', 'American', 'Italy']"
1980,Gluons,[],[]
1980,Saturnian System,"['Saturn', 'Saturn Titan', 'Earth', 'Mimas', 'Enceladus', 'Iapetus', 'Mimas Mimas', 'Saturn Mimas', 'Dione', 'Dione B', 'Saturn Dione', 'Dione Jupiter', 'Tethys']","['Earth', 'Titanian', 'Saturnian', 'Earth Saturn', 'Dione', 'Saturn', 'Trojan', 'Saturnian Saturnian']"
1981,Neutrino Mass,['Frederick Reines'],"['Moscow', 'Earth']"
1982,Space Shuttle,[],"['Earth', 'Gagarin']"
1982,Neptune’s Rings,"['Uranus', 'Uranus Neptune']",[]
1982,Millisecond Pulsar,[],[]
1982,Magnetic Monopole,"['Maxwell', 'Magnetism', 'Maxwell Proton Decay', 'Blas Cabrera', 'Cabrera']",[]
1982,Jarvik Hearts,"['Robert K. Jarvik', 'Barney Clark']","['American', 'Jarvik']"
1982,Laser Printers,"['Carlo Rubbia', 'Simon']","['Italian', 'Dutch']"
1982,Extrasolar Planets,[],['IRAS']
1984,Nuclear Winter,"['Carl Sagan', 'Mass', 'Human Evolution']",['Earth']
1985,Brown Dwarfs,['Van Biesbroeck'],[]
1985,Ozone Hole,[],['British']
1986,Pluto and Charon,"['Charon', 'Pluto', 'Pluto Pluto', 'Pluto Charon', 'Charon Pluto']",['Pluto']
1986,Uranus Probe,"['Uranus', 'Uranus Uranus', 'Miranda']","['Herschel', 'Miranda', 'Uranus']"
1987,Halley’s Comet,"['Halley', 'Halley Halley']","['Halley', 'Earth', 'Soviet Union', 'European', 'Giotto', 'Whipple']"
1987,Magellanic Supermnova,"['Milky Way Galaxy', 'Kepler']",[]
1988,Warm Superconductivity,"['Kamerlingh Onnes', 'Liquid', 'Liquid Karl Alex Mueller', 'Johannes Georg Bednorz', 'Mueller', 'Bednorz']","['Swiss', 'German']"
1988,Distant Galaxies,[],['New']
1988,Teven,['Again'],[]
1988,Shroud of Turin,['Jesus'],"['Turin', 'Jesus', 'France', 'Turin Libby']"
1989,Greenhouse Effect,['Earth'],"['Arrhenius', 'United States', 'Earth']"
1989,Neptune and Triton,"['Neptune', 'Neptune Jupiter', 'Neptune Neptune', 'Neptune Neptune Voyager', 'Neptune Triton', 'Neptune Saturn', 'Titan', 'Jupiter', 'Triton', 'Neptune Voyager']","['Earth', 'Saturn', 'Uranus', 'Neptunian']"
1989,Cold Fusion,"['Stanley Pons', 'Martin Fleischmann', 'Fleischmann']","['Stellarator', 'American', 'British', 'U.S.', 'Energy']"
1990,Chiron,[],"['Kowall', 'Chiro', 'Chiron', 'Chiron Halley']"
1990,Genetic Medicine,"['Huntington', 'Michael Blaese', 'French Anderson', 'Human Genonie']","['Duchenne', 'American', 'Health']"
1991,Hubble Space Telescope,"['Discovery', 'Named', 'Edwin Powell Hubble', 'Earth', 'Milky W', 'Cloud', 'Charon', 'Tt', 'M51']","['Cepheids', 'Andromeda', 'Earth', 'deSaturnian']"
1991,Fullerene Research,"['Buckyballs', 'Shaped']",[]
1991,Volcanic Venus,"['Magellan', 'Magellan Earth', 'Mount Everest', 'Volcanic', 'Volcanic Earth', 'Magellan Large', 'Earth']","['Venus', 'Earth', 'Venusian', 'Venusian Venus']"
1991,First Asteroid Photograph,"['Jupiter', 'Gaspra', 'Mars', 'Jupiter Irregularly']",['Galileo']
1992,Gamma Ray Bursts,"['Atlantis', 'Milky Way', 'Earth']","['U.S.', 'Earth']"
1993,Background Microwave Radiation,"['Penzias', 'George Fitzgerald Smoot', 'Larger Role', 'Ribosomes', 'Thomas Robert Cech', 'Sidney Altman', 'Cech', 'Altman', 'Harry Francis Noller']","['Gamow', 'Wilson', 'American', 'Earth', 'American Universe', 'American Chemistry']"
